"Step","benford - valid_arithmetic_perfect","benford - valid_arithmetic_perfect__MIN","benford - valid_arithmetic_perfect__MAX"
"557","73.2","73.2","73.2"
"558","73.7","73.7","73.7"
"559","73.38","73.38","73.38"
"560","73.96","73.96","73.96"
"561","74.24","74.24","74.24"
"562","72.97","72.97","72.97"
"563","73.38","73.38","73.38"
"564","74.03","74.03","74.03"
"565","74.29","74.29","74.29"
"566","73.17","73.17","73.17"
"567","74.08","74.08","74.08"
"568","74.22","74.22","74.22"
"569","73.71","73.71","73.71"
"570","74.41","74.41","74.41"
"571","74.36","74.36","74.36"
"572","74.33","74.33","74.33"
"573","74.18","74.18","74.18"
"574","73.85","73.85","73.85"
"575","74.27","74.27","74.27"
"576","74.52","74.52","74.52"
"577","74.48","74.48","74.48"
"578","74.03","74.03","74.03"
"579","75.03","75.03","75.03"
"580","74.79","74.79","74.79"
"581","74.59","74.59","74.59"
"582","75.18","75.18","75.18"
"583","75.19","75.19","75.19"
"584","74.75","74.75","74.75"
"585","75.49","75.49","75.49"
"586","74.95","74.95","74.95"
"587","75.41","75.41","75.41"
"588","74.15","74.15","74.15"
"589","74.85","74.85","74.85"
"590","74.58","74.58","74.58"
"591","75.16","75.16","75.16"
"592","75.83","75.83","75.83"
"593","74.58","74.58","74.58"
"594","75.13","75.13","75.13"
"595","74.18","74.18","74.18"
"596","75.43","75.43","75.43"
"597","75.5","75.5","75.5"
"598","75.32","75.32","75.32"
"599","75.6","75.6","75.6"
"600","75.66","75.66","75.66"
"601","75.89","75.89","75.89"
"602","75.2","75.2","75.2"
"603","75.56","75.56","75.56"
"604","75.58","75.58","75.58"
"605","76.02","76.02","76.02"
"606","75.66","75.66","75.66"
"607","75.32","75.32","75.32"
"608","75.31","75.31","75.31"
"609","76.08","76.08","76.08"
"610","75.74","75.74","75.74"
"611","75.71","75.71","75.71"
"612","75.67","75.67","75.67"
"613","77.22","77.22","77.22"
"614","74.91","74.91","74.91"
"615","75.47","75.47","75.47"
"616","75.26","75.26","75.26"
"617","75.89","75.89","75.89"
"618","76.1","76.1","76.1"
"619","75.65","75.65","75.65"
"620","75.95","75.95","75.95"
"621","76.42","76.42","76.42"
"622","75.89","75.89","75.89"
"623","76.3","76.3","76.3"
"624","75.44","75.44","75.44"
"625","76","76","76"
"626","74.79","74.79","74.79"
"627","76.23","76.23","76.23"
"628","76.32","76.32","76.32"
"629","76.39","76.39","76.39"
"630","75.85","75.85","75.85"
"631","76.66","76.66","76.66"
"632","75.89","75.89","75.89"
"633","76.18","76.18","76.18"
"634","76.11","76.11","76.11"
"635","76.15","76.15","76.15"
"636","76.6","76.6","76.6"
"637","76.17","76.17","76.17"
"638","76.85","76.85","76.85"
"639","75.85","75.85","75.85"
"640","76.26","76.26","76.26"
"641","76.08","76.08","76.08"
"642","76.12","76.12","76.12"
"643","76.34","76.34","76.34"
"644","76.72","76.72","76.72"
"645","75.58","75.58","75.58"
"646","76.71","76.71","76.71"
"647","76.92","76.92","76.92"
"648","76.79","76.79","76.79"
"649","76.27","76.27","76.27"
"650","76.95","76.95","76.95"
"651","77.38","77.38","77.38"
"652","76.8","76.8","76.8"
"653","77.16","77.16","77.16"
"654","76.75","76.75","76.75"
"655","76.89","76.89","76.89"
"656","76.02","76.02","76.02"
"657","75.84","75.84","75.84"
"658","76.68","76.68","76.68"
"659","75.72","75.72","75.72"
"660","76.35","76.35","76.35"
"661","76.16","76.16","76.16"
"662","76.32","76.32","76.32"
"663","76.26","76.26","76.26"
"664","76.82","76.82","76.82"
"665","76.67","76.67","76.67"
"666","76.52","76.52","76.52"
"667","75.62","75.62","75.62"
"668","76.17","76.17","76.17"
"669","76.86","76.86","76.86"
"670","76.72","76.72","76.72"
"671","76.63","76.63","76.63"
"672","76.41","76.41","76.41"
"673","76.76","76.76","76.76"
"674","76.44","76.44","76.44"
"675","76.94","76.94","76.94"
"676","76.78","76.78","76.78"
"677","76.74","76.74","76.74"
"678","76.65","76.65","76.65"
"679","76.92","76.92","76.92"
"680","76.44","76.44","76.44"
"681","76.72","76.72","76.72"
"682","76.97","76.97","76.97"
"683","76.79","76.79","76.79"
"684","76.93","76.93","76.93"
"685","76.29","76.29","76.29"
"686","77.38","77.38","77.38"
"687","77.05","77.05","77.05"
"688","77.41","77.41","77.41"
"689","77.34","77.34","77.34"
"690","76.85","76.85","76.85"
"691","76.99","76.99","76.99"
"692","76.83","76.83","76.83"
"693","76.34","76.34","76.34"
"694","78.39","78.39","78.39"
"695","77.33","77.33","77.33"
"696","76.78","76.78","76.78"
"697","77.12","77.12","77.12"
"698","77.33","77.33","77.33"
"699","76.53","76.53","76.53"
"700","76.87","76.87","76.87"
"701","77.5","77.5","77.5"
"702","76.12","76.12","76.12"
"703","77.07","77.07","77.07"
"704","76.89","76.89","76.89"
"705","77.22","77.22","77.22"
"706","77.03","77.03","77.03"
"707","77.2","77.2","77.2"
"708","77.43","77.43","77.43"
"709","76.87","76.87","76.87"
"710","77.3","77.3","77.3"
"711","76.57","76.57","76.57"
"712","76.97","76.97","76.97"
"713","76.7","76.7","76.7"
"714","77.15","77.15","77.15"
"715","77.9","77.9","77.9"
"716","76.98","76.98","76.98"
"717","77.3","77.3","77.3"
"718","76.77","76.77","76.77"
"719","77.09","77.09","77.09"
"720","76.04","76.04","76.04"
"721","77.11","77.11","77.11"
"722","76.73","76.73","76.73"
"723","77.27","77.27","77.27"
"724","77.57","77.57","77.57"
"725","76.51","76.51","76.51"
"726","76.89","76.89","76.89"
"727","77.54","77.54","77.54"
"728","76.89","76.89","76.89"
"729","77.14","77.14","77.14"
"730","77.63","77.63","77.63"
"731","76.96","76.96","76.96"
"732","77.45","77.45","77.45"
"733","77.17","77.17","77.17"
