"Step","benford2 - valid_arithmetic_perfect","benford2 - valid_arithmetic_perfect__MIN","benford2 - valid_arithmetic_perfect__MAX"
"2161","88.07","88.07","88.07"
"2162","87.91","87.91","87.91"
"2163","88.39","88.39","88.39"
"2164","88.49","88.49","88.49"
"2165","87.93","87.93","87.93"
"2166","87.89","87.89","87.89"
"2167","88.15","88.15","88.15"
"2168","87.8","87.8","87.8"
"2169","88.27","88.27","88.27"
"2170","87.43","87.43","87.43"
"2171","87.97","87.97","87.97"
"2172","87.74","87.74","87.74"
"2173","88.03","88.03","88.03"
"2174","88.35","88.35","88.35"
"2175","88.28","88.28","88.28"
"2176","88.43","88.43","88.43"
"2177","88.01","88.01","88.01"
"2178","88.25","88.25","88.25"
"2179","88.18","88.18","88.18"
"2180","87.63","87.63","87.63"
"2181","87.98","87.98","87.98"
"2182","88.2","88.2","88.2"
"2183","87.75","87.75","87.75"
"2184","88.31","88.31","88.31"
"2185","87.92","87.92","87.92"
"2186","88.08","88.08","88.08"
"2187","88.67","88.67","88.67"
"2188","88.12","88.12","88.12"
"2189","88.26","88.26","88.26"
