"Step","benford - test_arithmetic_perfect","benford - test_arithmetic_perfect__MIN","benford - test_arithmetic_perfect__MAX"
"705","64.57","64.57","64.57"
"706","66.05","66.05","66.05"
"707","66.46","66.46","66.46"
"708","64.37","64.37","64.37"
"709","63.98","63.98","63.98"
"710","64.96","64.96","64.96"
"711","65.62","65.62","65.62"
"712","64.08","64.08","64.08"
"713","65.42","65.42","65.42"
"714","66.14","66.14","66.14"
"715","64.46","64.46","64.46"
"716","65.41","65.41","65.41"
"717","65.16","65.16","65.16"
"718","65.92","65.92","65.92"
"719","66.42","66.42","66.42"
"720","65.64","65.64","65.64"
"721","66.61","66.61","66.61"
"722","66.28","66.28","66.28"
"723","67.24","67.24","67.24"
"724","66.55","66.55","66.55"
"725","66.52","66.52","66.52"
"726","66.13","66.13","66.13"
"727","64","64","64"
"728","65.15","65.15","65.15"
"729","65.47","65.47","65.47"
"730","65.99","65.99","65.99"
"731","66.82","66.82","66.82"
"732","65.52","65.52","65.52"
"733","67.04","67.04","67.04"
"734","66.09","66.09","66.09"
"735","65.74","65.74","65.74"
"736","66.04","66.04","66.04"
"737","65.26","65.26","65.26"
"738","65.74","65.74","65.74"
"739","66.6","66.6","66.6"
"740","64.87","64.87","64.87"
"741","66.47","66.47","66.47"
"742","66.53","66.53","66.53"
"743","65.53","65.53","65.53"
"744","64.9","64.9","64.9"
"745","66.22","66.22","66.22"
"746","66.24","66.24","66.24"
"747","65.54","65.54","65.54"
"748","66.04","66.04","66.04"
"749","64.82","64.82","64.82"
"750","65.65","65.65","65.65"
"751","65.17","65.17","65.17"
"752","66.17","66.17","66.17"
"753","65.08","65.08","65.08"
"754","65.82","65.82","65.82"
"755","65.78","65.78","65.78"
"756","65.71","65.71","65.71"
"757","65.6","65.6","65.6"
"758","66.43","66.43","66.43"
"759","66.73","66.73","66.73"
"760","64.57","64.57","64.57"
"761","66.07","66.07","66.07"
"762","65.48","65.48","65.48"
"763","66.37","66.37","66.37"
"764","66.75","66.75","66.75"
"765","65.83","65.83","65.83"
"766","66.52","66.52","66.52"
"767","66.7","66.7","66.7"
"768","67.12","67.12","67.12"
"769","65.43","65.43","65.43"
"770","66.75","66.75","66.75"
"771","66.43","66.43","66.43"
"772","67.46","67.46","67.46"
"773","67.5","67.5","67.5"
"774","67.41","67.41","67.41"
"775","65.81","65.81","65.81"
"776","65.17","65.17","65.17"
"777","67","67","67"
"778","65.58","65.58","65.58"
"779","66.05","66.05","66.05"
"780","67.01","67.01","67.01"
"781","65.57","65.57","65.57"
"782","66.24","66.24","66.24"
"783","66.6","66.6","66.6"
"784","66.98","66.98","66.98"
"785","66.11","66.11","66.11"
"786","65.93","65.93","65.93"
"787","66.04","66.04","66.04"
"788","63.88","63.88","63.88"
"789","65.52","65.52","65.52"
"790","66.34","66.34","66.34"
"791","66.28","66.28","66.28"
"792","67.22","67.22","67.22"
"793","65.84","65.84","65.84"
"794","66.57","66.57","66.57"
"795","67.1","67.1","67.1"
"796","66.43","66.43","66.43"
"797","66.81","66.81","66.81"
"798","66.99","66.99","66.99"
"799","67.42","67.42","67.42"
"800","66.26","66.26","66.26"
"801","66.35","66.35","66.35"
"802","66.82","66.82","66.82"
"803","66.74","66.74","66.74"
"804","66.55","66.55","66.55"
"805","66.38","66.38","66.38"
"806","65.08","65.08","65.08"
"807","66.24","66.24","66.24"
"808","67.11","67.11","67.11"
"809","66.34","66.34","66.34"
"810","66.37","66.37","66.37"
"811","66.37","66.37","66.37"
"812","65.46","65.46","65.46"
"813","66.33","66.33","66.33"
"814","66.33","66.33","66.33"
"815","67.5","67.5","67.5"
