"Step","benford2 - test_arithmetic_perfect","benford2 - test_arithmetic_perfect__MIN","benford2 - test_arithmetic_perfect__MAX"
"2058","79.41","79.41","79.41"
"2059","78.93","78.93","78.93"
"2060","78.22","78.22","78.22"
"2061","78.9","78.9","78.9"
"2062","79.61","79.61","79.61"
"2063","78.69","78.69","78.69"
"2064","78.93","78.93","78.93"
"2065","79.4","79.4","79.4"
"2066","79.63","79.63","79.63"
"2067","78.26","78.26","78.26"
"2068","78.75","78.75","78.75"
"2069","79.14","79.14","79.14"
"2070","79.81","79.81","79.81"
"2071","79.69","79.69","79.69"
"2072","79.21","79.21","79.21"
"2073","78.81","78.81","78.81"
"2074","79.22","79.22","79.22"
"2075","79.93","79.93","79.93"
"2076","78.83","78.83","78.83"
"2077","79.98","79.98","79.98"
"2078","78.94","78.94","78.94"
"2079","78.82","78.82","78.82"
"2080","79.41","79.41","79.41"
"2081","79.21","79.21","79.21"
"2082","78.74","78.74","78.74"
"2083","78.62","78.62","78.62"
"2084","78.89","78.89","78.89"
"2085","78.71","78.71","78.71"
"2086","79.31","79.31","79.31"
"2087","78.73","78.73","78.73"
"2088","78.74","78.74","78.74"
"2089","78.32","78.32","78.32"
"2090","79.5","79.5","79.5"
"2091","78.62","78.62","78.62"
"2092","78.51","78.51","78.51"
"2093","78.95","78.95","78.95"
"2094","79.88","79.88","79.88"
"2095","79.04","79.04","79.04"
"2096","79.42","79.42","79.42"
"2097","79.7","79.7","79.7"
"2098","78.84","78.84","78.84"
"2099","79.82","79.82","79.82"
"2100","79.12","79.12","79.12"
"2101","79.17","79.17","79.17"
"2102","79.13","79.13","79.13"
"2103","80.19","80.19","80.19"
"2104","78.43","78.43","78.43"
"2105","78.33","78.33","78.33"
"2106","79.82","79.82","79.82"
"2107","78.92","78.92","78.92"
"2108","79.51","79.51","79.51"
"2109","79.33","79.33","79.33"
"2110","79.31","79.31","79.31"
"2111","78.91","78.91","78.91"
"2112","79.1","79.1","79.1"
"2113","79.92","79.92","79.92"
"2114","79.64","79.64","79.64"
"2115","78.74","78.74","78.74"
"2116","79.5","79.5","79.5"
"2117","79.02","79.02","79.02"
"2118","79.14","79.14","79.14"
"2119","79.79","79.79","79.79"
"2120","78.92","78.92","78.92"
"2121","79.06","79.06","79.06"
"2122","79.7","79.7","79.7"
"2123","79.25","79.25","79.25"
"2124","79.67","79.67","79.67"
"2125","78.42","78.42","78.42"
"2126","78.92","78.92","78.92"
"2127","78.76","78.76","78.76"
"2128","79.22","79.22","79.22"
"2129","79.72","79.72","79.72"
"2130","79.5","79.5","79.5"
"2131","79.62","79.62","79.62"
"2132","79.34","79.34","79.34"
"2133","78.94","78.94","78.94"
"2134","79.42","79.42","79.42"
"2135","80.02","80.02","80.02"
"2136","79.62","79.62","79.62"
"2137","78.36","78.36","78.36"
"2138","79.13","79.13","79.13"
"2139","78.84","78.84","78.84"
"2140","78.56","78.56","78.56"
"2141","79.11","79.11","79.11"
"2142","79.34","79.34","79.34"
"2143","79.72","79.72","79.72"
"2144","79.88","79.88","79.88"
"2145","79.69","79.69","79.69"
"2146","79.51","79.51","79.51"
"2147","80.29","80.29","80.29"
"2148","79.59","79.59","79.59"
"2149","79.54","79.54","79.54"
"2150","78.73","78.73","78.73"
"2151","78.52","78.52","78.52"
"2152","79.99","79.99","79.99"
"2153","79.5","79.5","79.5"
"2154","78.64","78.64","78.64"
"2155","79.82","79.82","79.82"
"2156","79.62","79.62","79.62"
"2157","80.18","80.18","80.18"
"2158","79.4","79.4","79.4"
"2159","79.49","79.49","79.49"
"2160","79.01","79.01","79.01"
"2161","79.81","79.81","79.81"
"2162","79.33","79.33","79.33"
"2163","79.31","79.31","79.31"
"2164","79.06","79.06","79.06"
"2165","80.1","80.1","80.1"
"2166","80.13","80.13","80.13"
"2167","79.71","79.71","79.71"
"2168","79.48","79.48","79.48"
"2169","79.8","79.8","79.8"
"2170","79.11","79.11","79.11"
"2171","78.75","78.75","78.75"
"2172","79.32","79.32","79.32"
"2173","80.19","80.19","80.19"
"2174","79.11","79.11","79.11"
"2175","79.52","79.52","79.52"
"2176","79.41","79.41","79.41"
"2177","79.13","79.13","79.13"
"2178","79.66","79.66","79.66"
"2179","78.9","78.9","78.9"
"2180","79.2","79.2","79.2"
"2181","79.41","79.41","79.41"
"2182","79.6","79.6","79.6"
"2183","79.8","79.8","79.8"
"2184","79.39","79.39","79.39"
"2185","79.12","79.12","79.12"
"2186","79.52","79.52","79.52"
"2187","79.89","79.89","79.89"
"2188","79.42","79.42","79.42"
