"Step","base999 - test_arithmetic_perfect","base999 - test_arithmetic_perfect__MIN","base999 - test_arithmetic_perfect__MAX"
"780","60.87","60.87","60.87"
"781","61.59","61.59","61.59"
"782","61.03","61.03","61.03"
"783","61.31","61.31","61.31"
"784","62.16","62.16","62.16"
"785","61.51","61.51","61.51"
"786","62.28","62.28","62.28"
"787","61.47","61.47","61.47"
"788","61.75","61.75","61.75"
"789","61.89","61.89","61.89"
"790","61.79","61.79","61.79"
"791","61.23","61.23","61.23"
"792","61.09","61.09","61.09"
"793","61.59","61.59","61.59"
"794","61.81","61.81","61.81"
"795","61.11","61.11","61.11"
"796","61.74","61.74","61.74"
"797","61.37","61.37","61.37"
"798","62.44","62.44","62.44"
"799","60.9","60.9","60.9"
"800","62.07","62.07","62.07"
"801","61.49","61.49","61.49"
"802","62.16","62.16","62.16"
"803","61.45","61.45","61.45"
"804","61.37","61.37","61.37"
"805","61.56","61.56","61.56"
"806","61.99","61.99","61.99"
"807","61.8","61.8","61.8"
"808","61.58","61.58","61.58"
"809","60.81","60.81","60.81"
"810","62.54","62.54","62.54"
"811","61.67","61.67","61.67"
"812","61.4","61.4","61.4"
"813","61.7","61.7","61.7"
"814","61.38","61.38","61.38"
"815","61.87","61.87","61.87"
"816","61.62","61.62","61.62"
"817","62.29","62.29","62.29"
"818","61.88","61.88","61.88"
"819","62.25","62.25","62.25"
"820","60.91","60.91","60.91"
"821","62.45","62.45","62.45"
"822","60.99","60.99","60.99"
"823","61.38","61.38","61.38"
"824","61.79","61.79","61.79"
"825","61.7","61.7","61.7"
"826","61.31","61.31","61.31"
"827","61.57","61.57","61.57"
"828","61.75","61.75","61.75"
"829","61.29","61.29","61.29"
"830","62.16","62.16","62.16"
"831","62.17","62.17","62.17"
"832","62.16","62.16","62.16"
"833","62.14","62.14","62.14"
"834","61.67","61.67","61.67"
"835","61.86","61.86","61.86"
"836","61.35","61.35","61.35"
"837","62.19","62.19","62.19"
"838","61.16","61.16","61.16"
"839","61.66","61.66","61.66"
"840","61.87","61.87","61.87"
"841","61.89","61.89","61.89"
"842","61.7","61.7","61.7"
"843","61.95","61.95","61.95"
"844","61.78","61.78","61.78"
"845","60.88","60.88","60.88"
"846","62.26","62.26","62.26"
"847","61.37","61.37","61.37"
"848","61.18","61.18","61.18"
"849","61.69","61.69","61.69"
"850","61.8","61.8","61.8"
"851","61.67","61.67","61.67"
"852","62.16","62.16","62.16"
"853","61.27","61.27","61.27"
"854","61.01","61.01","61.01"
"855","61.76","61.76","61.76"
"856","61.87","61.87","61.87"
"857","60.8","60.8","60.8"
"858","62.27","62.27","62.27"
"859","61.87","61.87","61.87"
