"Step","base1013 - valid_arithmetic_perfect","base1013 - valid_arithmetic_perfect__MIN","base1013 - valid_arithmetic_perfect__MAX"
"758","55.35","55.35","55.35"
"759","54.4","54.4","54.4"
"760","54.26","54.26","54.26"
"761","54.98","54.98","54.98"
"762","55.22","55.22","55.22"
"763","54.96","54.96","54.96"
"764","54.98","54.98","54.98"
"765","55.93","55.93","55.93"
"766","54.44","54.44","54.44"
"767","54.67","54.67","54.67"
"768","54.89","54.89","54.89"
"769","55.14","55.14","55.14"
"770","54.51","54.51","54.51"
"771","54.95","54.95","54.95"
"772","54.48","54.48","54.48"
"773","55.35","55.35","55.35"
"774","55.48","55.48","55.48"
"775","55.23","55.23","55.23"
"776","54.02","54.02","54.02"
"777","55.6","55.6","55.6"
"778","55.23","55.23","55.23"
"779","55.3","55.3","55.3"
"780","55.09","55.09","55.09"
"781","55.34","55.34","55.34"
"782","54.64","54.64","54.64"
"783","55.33","55.33","55.33"
"784","54.9","54.9","54.9"
"785","55.24","55.24","55.24"
"786","55.39","55.39","55.39"
"787","55.32","55.32","55.32"
"788","55.41","55.41","55.41"
"789","54.87","54.87","54.87"
"790","54.9","54.9","54.9"
"791","56.03","56.03","56.03"
"792","55.66","55.66","55.66"
"793","54.1","54.1","54.1"
"794","55.97","55.97","55.97"
"795","55.74","55.74","55.74"
"796","54.32","54.32","54.32"
"797","54.65","54.65","54.65"
"798","55.26","55.26","55.26"
"799","55.87","55.87","55.87"
"800","54.28","54.28","54.28"
"801","56.04","56.04","56.04"
"802","54.82","54.82","54.82"
"803","55.25","55.25","55.25"
"804","54.96","54.96","54.96"
"805","54.99","54.99","54.99"
"806","55.65","55.65","55.65"
"807","55.96","55.96","55.96"
"808","56.26","56.26","56.26"
"809","55.69","55.69","55.69"
"810","55.99","55.99","55.99"
"811","55.76","55.76","55.76"
"812","55.73","55.73","55.73"
"813","55.82","55.82","55.82"
"814","55.83","55.83","55.83"
"815","54.47","54.47","54.47"
"816","55.21","55.21","55.21"
"817","54.79","54.79","54.79"
"818","55.29","55.29","55.29"
"819","55.38","55.38","55.38"
"820","55.89","55.89","55.89"
"821","54.93","54.93","54.93"
"822","54.99","54.99","54.99"
"823","55.59","55.59","55.59"
"824","55.52","55.52","55.52"
"825","55.69","55.69","55.69"
"826","55.47","55.47","55.47"
"827","55.69","55.69","55.69"
"828","55.61","55.61","55.61"
"829","55.18","55.18","55.18"
"830","55.73","55.73","55.73"
"831","55.04","55.04","55.04"
"832","55.84","55.84","55.84"
"833","55.71","55.71","55.71"
"834","56.21","56.21","56.21"
"835","56.1","56.1","56.1"
"836","55.96","55.96","55.96"
"837","55.1","55.1","55.1"
"838","55.53","55.53","55.53"
"839","55.84","55.84","55.84"
"840","55.92","55.92","55.92"
"841","54.51","54.51","54.51"
"842","55.31","55.31","55.31"
"843","55.81","55.81","55.81"
"844","55.23","55.23","55.23"
"845","55.1","55.1","55.1"
"846","55.84","55.84","55.84"
"847","55.77","55.77","55.77"
"848","54.93","54.93","54.93"
"849","56.11","56.11","56.11"
"850","55.66","55.66","55.66"
"851","55.43","55.43","55.43"
"852","55.77","55.77","55.77"
"853","56.46","56.46","56.46"
"854","56.13","56.13","56.13"
"855","55.31","55.31","55.31"
"856","55.73","55.73","55.73"
"857","56.05","56.05","56.05"
"858","55.99","55.99","55.99"
"859","55.91","55.91","55.91"
"860","55.11","55.11","55.11"
"861","55.26","55.26","55.26"
"862","56.45","56.45","56.45"
"863","55.77","55.77","55.77"
"864","56.26","56.26","56.26"
"865","55.96","55.96","55.96"
"866","55.83","55.83","55.83"
"867","55.34","55.34","55.34"
"868","55.52","55.52","55.52"
"869","55.99","55.99","55.99"
"870","55.59","55.59","55.59"
"871","56.31","56.31","56.31"
"872","55.82","55.82","55.82"
"873","55.3","55.3","55.3"
"874","55.99","55.99","55.99"
"875","55.66","55.66","55.66"
"876","55.8","55.8","55.8"
"877","54.98","54.98","54.98"
"878","56.23","56.23","56.23"
"879","55.21","55.21","55.21"
"880","55.49","55.49","55.49"
"881","55.06","55.06","55.06"
"882","56.04","56.04","56.04"
"883","56.02","56.02","56.02"
"884","55.44","55.44","55.44"
"885","55.29","55.29","55.29"
"886","54.93","54.93","54.93"
"887","55.71","55.71","55.71"
"888","55.32","55.32","55.32"
"889","55.22","55.22","55.22"
"890","56.11","56.11","56.11"
"891","55.69","55.69","55.69"
"892","55.66","55.66","55.66"
"893","55.96","55.96","55.96"
"894","56.74","56.74","56.74"
"895","55.66","55.66","55.66"
"896","56.52","56.52","56.52"
"897","55.37","55.37","55.37"
"898","55.73","55.73","55.73"
"899","56.15","56.15","56.15"
"900","55.73","55.73","55.73"
"901","56.03","56.03","56.03"
"902","55.21","55.21","55.21"
"903","55.97","55.97","55.97"
"904","55.7","55.7","55.7"
"905","55.9","55.9","55.9"
"906","55.91","55.91","55.91"
"907","56.54","56.54","56.54"
"908","54.91","54.91","54.91"
"909","55.1","55.1","55.1"
"910","55.58","55.58","55.58"
"911","55.5","55.5","55.5"
"912","55.81","55.81","55.81"
"913","56.38","56.38","56.38"
"914","55.49","55.49","55.49"
"915","56.8","56.8","56.8"
"916","54.94","54.94","54.94"
"917","56.02","56.02","56.02"
"918","55.64","55.64","55.64"
"919","55.52","55.52","55.52"
"920","55.68","55.68","55.68"
"921","55.54","55.54","55.54"
"922","55.86","55.86","55.86"
"923","55.46","55.46","55.46"
"924","55.54","55.54","55.54"
"925","56.2","56.2","56.2"
"926","56.39","56.39","56.39"
"927","56.11","56.11","56.11"
"928","55.18","55.18","55.18"
"929","55.71","55.71","55.71"
"930","56.54","56.54","56.54"
"931","55.71","55.71","55.71"
"932","55.91","55.91","55.91"
"933","55.33","55.33","55.33"
"934","55.55","55.55","55.55"
"935","56.18","56.18","56.18"
"936","55.76","55.76","55.76"
"937","56.03","56.03","56.03"
"938","55.41","55.41","55.41"
"939","55.87","55.87","55.87"
"940","56.05","56.05","56.05"
"941","56.16","56.16","56.16"
"942","56.04","56.04","56.04"
"943","56.43","56.43","56.43"
"944","56.01","56.01","56.01"
"945","56.21","56.21","56.21"
"946","55.24","55.24","55.24"
"947","56.72","56.72","56.72"
"948","56.55","56.55","56.55"
"949","56.94","56.94","56.94"
"950","55.62","55.62","55.62"
"951","56.39","56.39","56.39"
"952","55.46","55.46","55.46"
"953","56.42","56.42","56.42"
"954","56.53","56.53","56.53"
"955","54.91","54.91","54.91"
"956","56.41","56.41","56.41"
"957","56.54","56.54","56.54"
"958","56.09","56.09","56.09"
"959","56.19","56.19","56.19"
"960","56.61","56.61","56.61"
"961","54.76","54.76","54.76"
"962","56.61","56.61","56.61"
"963","55.92","55.92","55.92"
"964","56.45","56.45","56.45"
"965","55.62","55.62","55.62"
"966","56.88","56.88","56.88"
"967","55.73","55.73","55.73"
"968","56.24","56.24","56.24"
"969","56.67","56.67","56.67"
"970","56.22","56.22","56.22"
"971","56.45","56.45","56.45"
"972","55.66","55.66","55.66"
"973","56.75","56.75","56.75"
"974","56.05","56.05","56.05"
"975","55.69","55.69","55.69"
"976","56.34","56.34","56.34"
"977","56.26","56.26","56.26"
"978","56.5","56.5","56.5"
"979","56.97","56.97","56.97"
"980","55.41","55.41","55.41"
"981","55.51","55.51","55.51"
"982","56.22","56.22","56.22"
"983","56.16","56.16","56.16"
"984","56.17","56.17","56.17"
"985","55.94","55.94","55.94"
"986","56.3","56.3","56.3"
"987","56.4","56.4","56.4"
"988","56.25","56.25","56.25"
"989","56.91","56.91","56.91"
"990","56.63","56.63","56.63"
"991","55.51","55.51","55.51"
"992","56.67","56.67","56.67"
"993","56.68","56.68","56.68"
"994","56.07","56.07","56.07"
"995","56.54","56.54","56.54"
"996","56.17","56.17","56.17"
"997","57.01","57.01","57.01"
"998","56.94","56.94","56.94"
"999","56.45","56.45","56.45"
"1000","56.58","56.58","56.58"
"1001","56.39","56.39","56.39"
"1002","55.92","55.92","55.92"
"1003","56.79","56.79","56.79"
"1004","56.99","56.99","56.99"
"1005","56.98","56.98","56.98"
"1006","56.07","56.07","56.07"
"1007","55.63","55.63","55.63"
"1008","55.62","55.62","55.62"
"1009","55.66","55.66","55.66"
"1010","57.3","57.3","57.3"
"1011","57.03","57.03","57.03"
"1012","56.53","56.53","56.53"
"1013","56.13","56.13","56.13"
"1014","56.12","56.12","56.12"
