"Step","uniformbenford - valid_arithmetic_perfect","uniformbenford - valid_arithmetic_perfect__MIN","uniformbenford - valid_arithmetic_perfect__MAX"
"583","67.22","67.22","67.22"
"584","66.6","66.6","66.6"
"585","66.15","66.15","66.15"
"586","65.57","65.57","65.57"
"587","66.73","66.73","66.73"
"588","66.28","66.28","66.28"
"589","65.67","65.67","65.67"
"590","65.74","65.74","65.74"
"591","65.47","65.47","65.47"
"592","65.74","65.74","65.74"
"593","65.95","65.95","65.95"
"594","66.29","66.29","66.29"
"595","65.79","65.79","65.79"
"596","65.48","65.48","65.48"
"597","66.26","66.26","66.26"
"598","66.43","66.43","66.43"
"599","66.25","66.25","66.25"
"600","66.85","66.85","66.85"
"601","66.21","66.21","66.21"
"602","66.4","66.4","66.4"
"603","66.21","66.21","66.21"
"604","66.59","66.59","66.59"
"605","65.42","65.42","65.42"
"606","65.5","65.5","65.5"
"607","66.59","66.59","66.59"
"608","65.88","65.88","65.88"
"609","66.37","66.37","66.37"
"610","66.19","66.19","66.19"
"611","66.81","66.81","66.81"
"612","66.74","66.74","66.74"
"613","66.48","66.48","66.48"
"614","66.46","66.46","66.46"
"615","66.72","66.72","66.72"
"616","66.4","66.4","66.4"
"617","66.44","66.44","66.44"
"618","66.98","66.98","66.98"
"619","66.75","66.75","66.75"
"620","65.77","65.77","65.77"
"621","66.54","66.54","66.54"
"622","66.04","66.04","66.04"
"623","66.28","66.28","66.28"
"624","66.29","66.29","66.29"
"625","66.48","66.48","66.48"
"626","67.06","67.06","67.06"
"627","66.56","66.56","66.56"
"628","66.4","66.4","66.4"
"629","65.59","65.59","65.59"
"630","66.43","66.43","66.43"
"631","66.6","66.6","66.6"
"632","66.43","66.43","66.43"
"633","66.7","66.7","66.7"
"634","67.11","67.11","67.11"
"635","67.14","67.14","67.14"
"636","67.24","67.24","67.24"
"637","66.49","66.49","66.49"
"638","66.28","66.28","66.28"
"639","65.87","65.87","65.87"
"640","66.69","66.69","66.69"
"641","66.7","66.7","66.7"
"642","66.68","66.68","66.68"
"643","66.94","66.94","66.94"
"644","65.92","65.92","65.92"
"645","67.08","67.08","67.08"
"646","66.81","66.81","66.81"
"647","67.05","67.05","67.05"
"648","67.45","67.45","67.45"
"649","68.25","68.25","68.25"
"650","67.73","67.73","67.73"
"651","67.26","67.26","67.26"
"652","66.43","66.43","66.43"
"653","66.84","66.84","66.84"
"654","66.14","66.14","66.14"
"655","67.37","67.37","67.37"
"656","67.15","67.15","67.15"
"657","67.28","67.28","67.28"
"658","66.85","66.85","66.85"
"659","67.53","67.53","67.53"
"660","67.12","67.12","67.12"
"661","66.25","66.25","66.25"
"662","67.93","67.93","67.93"
"663","66.98","66.98","66.98"
"664","67.29","67.29","67.29"
"665","67.51","67.51","67.51"
"666","67.42","67.42","67.42"
"667","67.88","67.88","67.88"
"668","67.02","67.02","67.02"
"669","67.35","67.35","67.35"
"670","68.05","68.05","68.05"
"671","67.94","67.94","67.94"
"672","67.87","67.87","67.87"
"673","68.17","68.17","68.17"
"674","67.36","67.36","67.36"
"675","68.21","68.21","68.21"
"676","67.46","67.46","67.46"
"677","67.42","67.42","67.42"
"678","68.23","68.23","68.23"
"679","66.53","66.53","66.53"
"680","67.78","67.78","67.78"
"681","67.97","67.97","67.97"
"682","67.83","67.83","67.83"
"683","66.76","66.76","66.76"
"684","67.4","67.4","67.4"
"685","66.73","66.73","66.73"
"686","67.63","67.63","67.63"
"687","66.67","66.67","66.67"
"688","67.7","67.7","67.7"
"689","68.05","68.05","68.05"
"690","67.95","67.95","67.95"
"691","67.26","67.26","67.26"
"692","67.6","67.6","67.6"
"693","67.51","67.51","67.51"
"694","67.33","67.33","67.33"
"695","68.28","68.28","68.28"
"696","68.02","68.02","68.02"
"697","67.79","67.79","67.79"
"698","67.03","67.03","67.03"
"699","66.74","66.74","66.74"
"700","67.16","67.16","67.16"
"701","66.8","66.8","66.8"
"702","68","68","68"
"703","68.41","68.41","68.41"
"704","67.71","67.71","67.71"
"705","67.84","67.84","67.84"
"706","68.02","68.02","68.02"
"707","67.4","67.4","67.4"
"708","67.63","67.63","67.63"
"709","68.22","68.22","68.22"
"710","67.18","67.18","67.18"
"711","67.65","67.65","67.65"
"712","67.58","67.58","67.58"
"713","67.29","67.29","67.29"
"714","67.61","67.61","67.61"
"715","67.76","67.76","67.76"
"716","67.43","67.43","67.43"
"717","67.76","67.76","67.76"
"718","67.62","67.62","67.62"
"719","67.87","67.87","67.87"
"720","67.39","67.39","67.39"
"721","67.75","67.75","67.75"
"722","67.72","67.72","67.72"
"723","67.8","67.8","67.8"
"724","67.03","67.03","67.03"
"725","67.84","67.84","67.84"
"726","67.55","67.55","67.55"
"727","67.66","67.66","67.66"
"728","68.14","68.14","68.14"
"729","67.63","67.63","67.63"
"730","67.88","67.88","67.88"
"731","67.96","67.96","67.96"
"732","66.94","66.94","66.94"
"733","67.36","67.36","67.36"
"734","68","68","68"
"735","67.54","67.54","67.54"
"736","67.46","67.46","67.46"
"737","67.46","67.46","67.46"
"738","67.31","67.31","67.31"
"739","67.91","67.91","67.91"
"740","67.57","67.57","67.57"
"741","67.16","67.16","67.16"
"742","67.71","67.71","67.71"
"743","67.46","67.46","67.46"
"744","67.1","67.1","67.1"
"745","67.85","67.85","67.85"
"746","67.47","67.47","67.47"
"747","67.93","67.93","67.93"
"748","67.71","67.71","67.71"
"749","66.93","66.93","66.93"
"750","66.96","66.96","66.96"
"751","68.37","68.37","68.37"
"752","68.25","68.25","68.25"
"753","67.08","67.08","67.08"
"754","67.27","67.27","67.27"
"755","67.71","67.71","67.71"
"756","67.59","67.59","67.59"
"757","67.34","67.34","67.34"
"758","68.01","68.01","68.01"
"759","67.85","67.85","67.85"
"760","67.92","67.92","67.92"
"761","67.64","67.64","67.64"
"762","67.17","67.17","67.17"
"763","67.81","67.81","67.81"
"764","67.67","67.67","67.67"
"765","67.15","67.15","67.15"
"766","67.4","67.4","67.4"
"767","68.4","68.4","68.4"
"768","67.63","67.63","67.63"
"769","67.49","67.49","67.49"
"770","67.08","67.08","67.08"
"771","67.57","67.57","67.57"
"772","67.33","67.33","67.33"
"773","65.96","65.96","65.96"
"774","67.32","67.32","67.32"
"775","67.22","67.22","67.22"
"776","67.97","67.97","67.97"
"777","67.07","67.07","67.07"
"778","67.25","67.25","67.25"
"779","67.71","67.71","67.71"
"780","68.02","68.02","68.02"
"781","67.51","67.51","67.51"
"782","67.36","67.36","67.36"
"783","67.75","67.75","67.75"
"784","68.43","68.43","68.43"
"785","68.22","68.22","68.22"
"786","67.6","67.6","67.6"
"787","67.85","67.85","67.85"
"788","68.01","68.01","68.01"
"789","67.72","67.72","67.72"
"790","68.02","68.02","68.02"
"791","67.7","67.7","67.7"
"792","67.72","67.72","67.72"
"793","68.17","68.17","68.17"
"794","68.62","68.62","68.62"
"795","67.72","67.72","67.72"
"796","67.66","67.66","67.66"
"797","67.29","67.29","67.29"
"798","67.76","67.76","67.76"
"799","67.62","67.62","67.62"
"800","68.13","68.13","68.13"
"801","66.79","66.79","66.79"
"802","68.33","68.33","68.33"
"803","67.87","67.87","67.87"
"804","68.02","68.02","68.02"
"805","68.41","68.41","68.41"
"806","67.61","67.61","67.61"
"807","66.86","66.86","66.86"
"808","68.28","68.28","68.28"
"809","67.62","67.62","67.62"
"810","67.99","67.99","67.99"
"811","67.66","67.66","67.66"
"812","68.87","68.87","68.87"
"813","67.09","67.09","67.09"
"814","67.32","67.32","67.32"
"815","66.66","66.66","66.66"
"816","67.36","67.36","67.36"
"817","67.86","67.86","67.86"
"818","67.79","67.79","67.79"
"819","68.35","68.35","68.35"
"820","67.19","67.19","67.19"
"821","68.06","68.06","68.06"
"822","67.87","67.87","67.87"
"823","67.76","67.76","67.76"
"824","67.61","67.61","67.61"
"825","67.18","67.18","67.18"
"826","68.24","68.24","68.24"
"827","67.26","67.26","67.26"
"828","67.45","67.45","67.45"
"829","68.12","68.12","68.12"
"830","67.95","67.95","67.95"
"831","67.97","67.97","67.97"
"832","67.87","67.87","67.87"
"833","68.38","68.38","68.38"
"834","67.62","67.62","67.62"
"835","67.82","67.82","67.82"
"836","68.36","68.36","68.36"
"837","68.27","68.27","68.27"
"838","67.28","67.28","67.28"
"839","68.02","68.02","68.02"
"840","68.55","68.55","68.55"
"841","68.05","68.05","68.05"
"842","67.38","67.38","67.38"
"843","68.46","68.46","68.46"
"844","67.21","67.21","67.21"
"845","66.94","66.94","66.94"
"846","68.32","68.32","68.32"
"847","67.76","67.76","67.76"
"848","67.47","67.47","67.47"
"849","67.63","67.63","67.63"
"850","68","68","68"
"851","67.27","67.27","67.27"
"852","68.16","68.16","68.16"
"853","67.46","67.46","67.46"
"854","67.78","67.78","67.78"
